Field=#~Integer~#~50|Field=Line #~String~Line #~71|Field=Name~String~Name~129|Field=Description~String~Description~99|Field=Designator~String~Designator~131|Field=Quantity~Integer~Quantity~84|Field=Manufacturer 1~String~Manufacturer 1~119|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~186|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~164|Field=Supplier 1~String~Supplier 1~92|Field=Supplier Part Number 1~String~Supplier Part Number 1~159|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~144|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~139|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BatteryBoard.PrjPcb|ReportField=ProjectFullPath~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\BatteryBoard.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [BatteryBoard.BomDoc]|ReportField=ReportTime~6:44:20 PM|ReportField=ReportDate~3/27/2019|ReportField=ReportDateTime~3/27/2019 6:44:20 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~50|ReportField=TotalActualPrice~87.86|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~3/27/2019|ReportField=CurrentTime~6:43:58 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\Prometheus.SchDoc|ReportField=DocumentName~Prometheus.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~3/27/2019|ReportField=Organization~|ReportField=ProjectName~BatteryBoard.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~BatteryBoard.BomDoc|ReportField=DataSourceFullPath~C:\Users\TharunS\Desktop\AlbertaSat\projects\Battery Board\Altium\BatteryBoard.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||Res3|21 Ohms ±1% 1W Through Hole Resistor Axial Flame Proof, Moisture Resistant, Safety Metal Film|R1, R2, R3, R4|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCPF121R000FKEE6%26seller%3DDigi-Key%26sku%3DCPF21.0CCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCPF121R000FKEE6%26seller%3DDigi-Key%26sku%3DCPF21.0CCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CPF121R000FKEE6{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3DCPF121R000FKEE6%26seller%3DDigi-Key%26sku%3DCPF21.0CCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}CPF21.0CCT-ND{URL.TIP}Supplier|0.96538|3.86
12||Res3|RES SMD 100K OHM 1% 1/8W 0805|R5, R6, R7, R8|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF1003V%26seller%3DDigi-Key%26sku%3DP100KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF1003V%26seller%3DDigi-Key%26sku%3DP100KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-6ENF1003V{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF1003V%26seller%3DDigi-Key%26sku%3DP100KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P100KCCT-ND{URL.TIP}Supplier|0.13408|0.53632
13||Res3|Resistor|R9, R10|2|{URL}{URL.TEXT}{URL.TIP}Component|{URL}{URL.TEXT}{URL.TIP}Manufacturer|||{URL}{URL.TEXT}{URL.TIP}Supplier||
14||Res3|RES SMD 8.66K OHM 1% 1/8W 0805|R11, R12, R13|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF8661V%26seller%3DDigi-Key%26sku%3DP8.66KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF8661V%26seller%3DDigi-Key%26sku%3DP8.66KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-6ENF8661V{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERJ-6ENF8661V%26seller%3DDigi-Key%26sku%3DP8.66KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P8.66KCCT-ND{URL.TIP}Supplier|0.13408|0.40224
15||Res3|RES SMD 10 OHM 0.5% 1/16W 0402|R14, R15, R16, R17|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AKD100X%26seller%3DDigi-Key%26sku%3DP10DDCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AKD100X%26seller%3DDigi-Key%26sku%3DP10DDCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERA-2AKD100X{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DERA-2AKD100X%26seller%3DDigi-Key%26sku%3DP10DDCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P10DDCT-ND{URL.TIP}Supplier|0.13408|0.53632
16||Res3|RES SMD 10K OHM 1% 1/8W 0805|R18, R19, R20, R21|4|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DERJ-6ENF1002V%26seller%3DDigi-Key%26sku%3DP10.0KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DERJ-6ENF1002V%26seller%3DDigi-Key%26sku%3DP10.0KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ERJ-6ENF1002V{URL.TIP}Manufacturer|Obsolete|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DERJ-6ENF1002V%26seller%3DDigi-Key%26sku%3DP10.0KCCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P10.0KCCT-ND{URL.TIP}Supplier|0.13408|0.53632
17||Res Adj1|NTC THERMISTOR 10K OHM 5% BEAD|RT1, RT2, RT3|3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3D01M1002JF%26seller%3DDigi-Key%26sku%3D541-1074-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Vishay%20Dale{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3D01M1002JF%26seller%3DDigi-Key%26sku%3D541-1074-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}01M1002JF{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DVishay%2520Dale%26mpn%3D01M1002JF%26seller%3DDigi-Key%26sku%3D541-1074-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}541-1074-ND{URL.TIP}Supplier|2.33|7
18||5017|PC TEST POINT MINI SMD|TP1, TP2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D5017%26seller%3DDigi-Key%26sku%3D36-5017CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Keystone%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D5017%26seller%3DDigi-Key%26sku%3D36-5017CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}5017{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D5017%26seller%3DDigi-Key%26sku%3D36-5017CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}36-5017CT-ND{URL.TIP}Supplier|0.63018|1.26
19||MAX6698|SENSOR TEMPERATURE SMBUS 16QSOP|U1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DMAX6698EE38%252BT%26seller%3DDigi-key%26sku%3DMAX6698EE38%252BTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Maxim{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DMAX6698EE38%252BT%26seller%3DDigi-key%26sku%3DMAX6698EE38%252BTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MAX6698EE38%2BT{URL.TIP}Manufacturer|Volume Production|Digi-key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMaxim%26mpn%3DMAX6698EE38%252BT%26seller%3DDigi-key%26sku%3DMAX6698EE38%252BTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MAX6698EE38%2BTCT-ND{URL.TIP}Supplier||
20||INA226|IC MONITOR PWR/CURR BIDIR 10MSOP|U2, U3|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DINA226AQDGSRQ1%26seller%3DDigi-Key%26sku%3D296-42503-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DINA226AQDGSRQ1%26seller%3DDigi-Key%26sku%3D296-42503-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}INA226AQDGSRQ1{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DINA226AQDGSRQ1%26seller%3DDigi-Key%26sku%3D296-42503-1-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-42503-1-ND{URL.TIP}Supplier|4.56|9.12
